elevation,habitat_class,country,percent_loss,longitude_round,area,averagecountry,secountry,averageclass,seclass
3143,core,china_spp,0.09596929,103,95.96929,1.15281729,0.141674902,0.496506815,0.077524625
3278,low,china,0,95,0,1.219872364,0.163011557,1.203701833,0.119280872
696,moderate,india,6.284153005,91,6284.153005,1.546944592,0.245287153,1.17929022,0.115853324
2091,moderate,china,5.410821643,100,5410.821643,1.219872364,0.163011557,1.17929022,0.115853324
2584,low,china_spp,10.07326007,104,10073.26007,1.15281729,0.141674902,1.203701833,0.119280872
1869,moderate,china_spp,0,103,0,1.15281729,0.141674902,1.17929022,0.115853324
2740,low,china,0,100,0,1.219872364,0.163011557,1.203701833,0.119280872
1811,moderate,china_spp,2.655771195,102,2655.771195,1.15281729,0.141674902,1.17929022,0.115853324
2701,core,bhutan,0,91,0,0.335161377,0.049644415,0.496506815,0.077524625
4062,low,china,0,99,0,1.219872364,0.163011557,1.203701833,0.119280872
2153,moderate,china,0,99,0,1.219872364,0.163011557,1.17929022,0.115853324
2287,core,nepal,0,86,0,0.74153777,0.1118324,0.496506815,0.077524625
2356,core,bhutan,0,91,0,0.335161377,0.049644415,0.496506815,0.077524625
2116,low,burma,30.56569343,99,30565.69343,1.184982172,0.215918281,1.203701833,0.119280872
2754,core,bhutan,0,91,0,0.335161377,0.049644415,0.496506815,0.077524625
3453,low,china_spp,0,103,0,1.15281729,0.141674902,1.203701833,0.119280872
2605,moderate,china_spp,0.090334237,103,90.334237,1.15281729,0.141674902,1.17929022,0.115853324
3713,low,bhutan,0.110375276,90,110.375276,0.335161377,0.049644415,1.203701833,0.119280872
3861,low,china,0.201207243,96,201.207243,1.219872364,0.163011557,1.203701833,0.119280872
3214,moderate,burma,0,99,0,1.184982172,0.215918281,1.17929022,0.115853324
3618,core,china,0.112233446,87,112.233446,1.219872364,0.163011557,0.496506815,0.077524625
1518,low,china_spp,0.274473925,105,274.473925,1.15281729,0.141674902,1.203701833,0.119280872
2698,low,china_spp,0.374531835,104,374.531835,1.15281729,0.141674902,1.203701833,0.119280872
2940,core,nepal,0,85,0,0.74153777,0.1118324,0.496506815,0.077524625
4125,low,china,0,98,0,1.219872364,0.163011557,1.203701833,0.119280872
3708,moderate,bhutan,0,91,0,0.335161377,0.049644415,1.17929022,0.115853324
3491,moderate,bhutan,0,91,0,0.335161377,0.049644415,1.17929022,0.115853324
1775,moderate,burma,5.833333333,99,5833.333333,1.184982172,0.215918281,1.17929022,0.115853324
2601,moderate,burma,0.379506641,99,379.506641,1.184982172,0.215918281,1.17929022,0.115853324
1315,low,china_spp,0.469043152,104,469.043152,1.15281729,0.141674902,1.203701833,0.119280872
3736,low,china,0,99,0,1.219872364,0.163011557,1.203701833,0.119280872
2740,core,bhutan,0,91,0,0.335161377,0.049644415,0.496506815,0.077524625
2286,low,india,0,95,0,1.546944592,0.245287153,1.203701833,0.119280872
2503,moderate,nepal,2.253521127,82,2253.521127,0.74153777,0.1118324,1.17929022,0.115853324
2655,low,china,0.470219436,97,470.219436,1.219872364,0.163011557,1.203701833,0.119280872
1154,moderate,nepal,0.452488688,86,452.488688,0.74153777,0.1118324,1.17929022,0.115853324
1606,low,nepal,1.265822785,82,1265.822785,0.74153777,0.1118324,1.203701833,0.119280872
1729,moderate,china_spp,2.434625789,103,2434.625789,1.15281729,0.141674902,1.17929022,0.115853324
3614,low,india,0,94,0,1.546944592,0.245287153,1.203701833,0.119280872
1862,low,bhutan,0.090497738,90,90.497738,0.335161377,0.049644415,1.203701833,0.119280872
2578,moderate,china,0,100,0,1.219872364,0.163011557,1.17929022,0.115853324
3819,moderate,china,18.48484848,100,18484.84848,1.219872364,0.163011557,1.17929022,0.115853324
1540,moderate,burma,0.450856628,98,450.856628,1.184982172,0.215918281,1.17929022,0.115853324
948,low,india,18.40087623,91,18400.87623,1.546944592,0.245287153,1.203701833,0.119280872
3421,moderate,nepal,0,88,0,0.74153777,0.1118324,1.17929022,0.115853324
3117,moderate,india,0,95,0,1.546944592,0.245287153,1.17929022,0.115853324
2532,low,china_spp,29.76406534,104,29764.06534,1.15281729,0.141674902,1.203701833,0.119280872
3198,low,nepal,1.152368758,83,1152.368758,0.74153777,0.1118324,1.203701833,0.119280872
2192,core,burma,0,98,0,1.184982172,0.215918281,0.496506815,0.077524625
3578,moderate,bhutan,0,91,0,0.335161377,0.049644415,1.17929022,0.115853324
1617,core,nepal,0,88,0,0.74153777,0.1118324,0.496506815,0.077524625
3075,core,china_spp,0,103,0,1.15281729,0.141674902,0.496506815,0.077524625
2403,moderate,bhutan,0,90,0,0.335161377,0.049644415,1.17929022,0.115853324
2843,low,china,0,97,0,1.219872364,0.163011557,1.203701833,0.119280872
1747,moderate,bhutan,0.090252708,90,90.252708,0.335161377,0.049644415,1.17929022,0.115853324
2438,low,nepal,0.845665962,83,845.665962,0.74153777,0.1118324,1.203701833,0.119280872
3562,moderate,nepal,0,86,0,0.74153777,0.1118324,1.17929022,0.115853324
1979,low,china_spp,0,103,0,1.15281729,0.141674902,1.203701833,0.119280872
3100,moderate,china,0.965665236,101,965.665236,1.219872364,0.163011557,1.17929022,0.115853324
1885,moderate,china_spp,0,102,0,1.15281729,0.141674902,1.17929022,0.115853324
2442,moderate,china_spp,0.218579235,103,218.579235,1.15281729,0.141674902,1.17929022,0.115853324
2515,low,china_spp,0,102,0,1.15281729,0.141674902,1.203701833,0.119280872
2138,low,india,0,96,0,1.546944592,0.245287153,1.203701833,0.119280872
3303,low,china,0,101,0,1.219872364,0.163011557,1.203701833,0.119280872
2498,moderate,bhutan,0.220994475,89,220.994475,0.335161377,0.049644415,1.17929022,0.115853324
3531,low,china,0,96,0,1.219872364,0.163011557,1.203701833,0.119280872
3305,low,china,0,98,0,1.219872364,0.163011557,1.203701833,0.119280872
3661,moderate,bhutan,0,90,0,0.335161377,0.049644415,1.17929022,0.115853324
2808,low,india,0,95,0,1.546944592,0.245287153,1.203701833,0.119280872
2409,low,bhutan,0,90,0,0.335161377,0.049644415,1.203701833,0.119280872
3652,moderate,china,0,99,0,1.219872364,0.163011557,1.17929022,0.115853324
3396,core,bhutan,0.332594235,90,332.594235,0.335161377,0.049644415,0.496506815,0.077524625
3574,low,china_spp,0.2034588,103,203.4588,1.15281729,0.141674902,1.203701833,0.119280872
2380,low,china_spp,0,102,0,1.15281729,0.141674902,1.203701833,0.119280872
3804,moderate,china,0,100,0,1.219872364,0.163011557,1.17929022,0.115853324
3537,low,china,0,96,0,1.219872364,0.163011557,1.203701833,0.119280872
2818,moderate,china_spp,0.273722628,103,273.722628,1.15281729,0.141674902,1.17929022,0.115853324
2340,core,india,0,88,0,1.546944592,0.245287153,0.496506815,0.077524625
4377,low,china,0,94,0,1.219872364,0.163011557,1.203701833,0.119280872
1199,low,china_spp,1.397949674,104,1397.949674,1.15281729,0.141674902,1.203701833,0.119280872
1197,moderate,india,1.182033097,92,1182.033097,1.546944592,0.245287153,1.17929022,0.115853324
3569,low,china_spp,0.387972842,103,387.972842,1.15281729,0.141674902,1.203701833,0.119280872
2043,low,burma,0,97,0,1.184982172,0.215918281,1.203701833,0.119280872
3106,core,india,0.412654746,92,412.654746,1.546944592,0.245287153,0.496506815,0.077524625
2773,moderate,india,0,93,0,1.546944592,0.245287153,1.17929022,0.115853324
