loss_mean,elevation,longitude,Country,iucn,over_20_pc_canopy_cover,Habitat_class,iucn,,,loss_mean,elevation,longitude,Country,iucn,over_20_pc_canopy_cover,Habitat_class
,3944,102.0167859,china_styani,,0,Moderate,,,,,3944,102.0167859,china_styani,,0,Moderate
0,2978,81.66671077,Nepal,,1,Moderate,,,,0,2978,81.66671077,Nepal,,1,Moderate
0,2991,96.09491187,India,,1,Low,,,,0,2991,96.09491187,India,,1,Low
,3293,97.62591061,China_fulgens,,0,Low,,,,,3293,97.62591061,China_fulgens,,0,Low
,3347,98.86019581,China_fulgens,,0,Moderate,,,,,3347,98.86019581,China_fulgens,,0,Moderate
0,3205,82.70130048,Nepal,,1,Moderate,,,,0,3205,82.70130048,Nepal,,1,Moderate
,4588,93.53794725,China_fulgens,,0,Low,,,,,4588,93.53794725,China_fulgens,,0,Low
0,2514,81.71710625,Nepal,,1,Moderate,,,,0,2514,81.71710625,Nepal,,1,Moderate
,2183,91.61725934,Bhutan,,0,Low,,,,,2183,91.61725934,Bhutan,,0,Low
0.03219697,2824,103.2877224,china_styani,,1,Moderate,,,,0.03219697,2824,103.2877224,china_styani,,1,Moderate
0.145907473,1385,91.26395194,India,,1,Moderate,,,,0.145907473,1385,91.26395194,India,,1,Moderate
,3893,97.43753389,China_fulgens,,0,Low,,,,,3893,97.43753389,China_fulgens,,0,Low
,3534,100.0898996,China_fulgens,,0,Low,,,,,3534,100.0898996,China_fulgens,,0,Low
,4060,82.82122557,Nepal,IUCN II,0,Low,,,,,4060,82.82122557,Nepal,IUCN II,0,Low
0.008359457,1442,104.1840613,china_styani,,1,Low,,,,0.008359457,1442,104.1840613,china_styani,,1,Low
0,3504,95.42036692,India,,1,Low,,,,0,3504,95.42036692,India,,1,Low
,4339,97.35129563,China_fulgens,,0,Low,,,,,4339,97.35129563,China_fulgens,,0,Low
0,2126,92.83564436,India,,1,Moderate,,,,0,2126,92.83564436,India,,1,Moderate
,4662,87.34442269,China_fulgens,,0,Low,,,,,4662,87.34442269,China_fulgens,,0,Low
,4321,97.82641458,China_fulgens,,0,Low,,,,,4321,97.82641458,China_fulgens,,0,Low
,4113,82.34260319,Nepal,,0,Core,,,,,4113,82.34260319,Nepal,,0,Core
0.001956947,3004,88.7425606,India,,1,Moderate,,,,0.001956947,3004,88.7425606,India,,1,Moderate
,1636,86.03333153,Nepal,,0,Moderate,,,,,1636,86.03333153,Nepal,,0,Moderate
0.060818713,1686,91.69999417,Bhutan,,1,Moderate,,,,0.060818713,1686,91.69999417,Bhutan,,1,Moderate
,2988,99.54444256,China_fulgens,,0,Low,,,,,2988,99.54444256,China_fulgens,,0,Low
,4152,96.22507775,India,,0,Low,,,,,4152,96.22507775,India,,0,Low
,3010,99.7166496,China_fulgens,,0,Moderate,,,,,3010,99.7166496,China_fulgens,,0,Moderate
,3330,97.6164783,Burma,IUCN II,0,Low,,,,,3330,97.6164783,Burma,IUCN II,0,Low
,4688,93.43203587,China_fulgens,,0,Low,,,,,4688,93.43203587,China_fulgens,,0,Low
0,2456,93.35792486,India,,1,Core,,,,0,2456,93.35792486,India,,1,Core
0,3424,96.38273209,China_fulgens,,1,Low,,,,0,3424,96.38273209,China_fulgens,,1,Low
0.005420054,2034,86.3931068,Nepal,,1,Core,,,,0.005420054,2034,86.3931068,Nepal,,1,Core
0,2756,92.86367179,India,,1,Moderate,,,,0,2756,92.86367179,India,,1,Moderate
,2145,102.5080745,china_styani,,0,Moderate,,,,,2145,102.5080745,china_styani,,0,Moderate
0,2284,89.82431186,Bhutan,,1,Low,,,,0,2284,89.82431186,Bhutan,,1,Low
0.014611872,3799,94.93339021,China_fulgens,,1,Low,,,,0.014611872,3799,94.93339021,China_fulgens,,1,Low
,4244,97.81590429,China_fulgens,,0,Low,,,,,4244,97.81590429,China_fulgens,,0,Low
,3709,99.04426061,China_fulgens,,0,Moderate,,,,,3709,99.04426061,China_fulgens,,0,Moderate
,4381,95.86638046,China_fulgens,,0,Low,,,,,4381,95.86638046,China_fulgens,,0,Low
0,2622,94.24375356,India,,1,Low,,,,0,2622,94.24375356,India,,1,Low
0.003606853,1363,97.55961494,Burma,IUCN IV,1,Low,,,,0.003606853,1363,97.55961494,Burma,IUCN IV,1,Low
,3032,98.24440068,China_fulgens,,0,Moderate,,,,,3032,98.24440068,China_fulgens,,0,Moderate
,4250,85.4075651,Nepal,IUCN II,0,Core,,,,,4250,85.4075651,Nepal,IUCN II,0,Core
,2436,99.10678335,China_fulgens,,0,Low,,,,,2436,99.10678335,China_fulgens,,0,Low
0,2460,95.94803732,India,,1,Low,,,,0,2460,95.94803732,India,,1,Low
,4365,102.5029541,china_styani,,0,Moderate,,,,,4365,102.5029541,china_styani,,0,Moderate
,2668,99.51964906,China_fulgens,,0,Moderate,,,,,2668,99.51964906,China_fulgens,,0,Moderate
0.003652968,1376,94.55879273,India,,1,LowModerate,,,,0.003652968,1376,94.55879273,India,,1,LowModerate
,2163,101.0948449,China_fulgens,,0,Low,,,,,2163,101.0948449,China_fulgens,,0,Low
0,3897,93.5551949,China_fulgens,,1,Low,,,,0,3897,93.5551949,China_fulgens,,1,Low
,4496,99.4827283,China_fulgens,,0,Low,,,,,4496,99.4827283,China_fulgens,,0,Low
0.003239741,3224,102.5972772,china_styani,,1,Core,,,,0.003239741,3224,102.5972772,china_styani,,1,Core
,3166,100.1658971,China_fulgens,,0,Low,,,,,3166,100.1658971,China_fulgens,,0,Low
0,4023,100.5388776,China_fulgens,,1,Low,,,,0,4023,100.5388776,China_fulgens,,1,Low
0.008403361,3271,93.79854851,China_fulgens,,1,Low,,,,0.008403361,3271,93.79854851,China_fulgens,,1,Low
0.220994475,900,91.02517973,India,,1,Moderate,,,,0.220994475,900,91.02517973,India,,1,Moderate
