loss_mean,elevation,longtitude,country,iucn,over_20_pc_canopy_cover,habitat_class
0.003159558,3966,100,China_fulgens,,1,Moderate
0.002710027,1498,104,china_styani,,1,Low
,1831,100,China_fulgens,,0,Low
0.003095975,3580,87,Nepal,IUCN II,1,Moderate
0.010321101,3417,90,Bhutan,IUCN VI,1,Low
0.028703704,1705,99,Burma,,1,Low
,2954,94,China_fulgens,,0,Low
0,2381,88,Nepal,,1,Core
0,2924,83,Nepal,,1,Moderate
,3016,95,India,,0,Moderate
0.056934307,2521,99,China_fulgens,,1,Low
,4326,97,China_fulgens,,0,Low
0.003267974,1085,89,Bhutan,,1,Moderate
,3420,82,Nepal,,0,Moderate
,4476,97,China_fulgens,,0,Low
0.014644351,3190,101,China_fulgens,,1,Low
,4846,102,china_styani,,0,Moderate
0,3422,94,China_fulgens,,1,Moderate
0,2549,84,Nepal,,1,Moderate
,4565,93,China_fulgens,,0,Low
,1898,87,Nepal,,0,Moderate
0.284957627,1775,98,,,1,Low
0,2708,100,China_fulgens,,1,Low
0,2913,103,china_styani,,1,Core
9.08E-04,1637,97,Burma,IUCN IV,1,Moderate
,3018,82,Nepal,,0,Low
,1988,82,Nepal,,0,Low
9.39E-04,2625,103,china_styani,,1,Core
0.003338898,2819,99,China_fulgens,,1,Low
,3295,98,Burma,IUCN II,0,Moderate
0,3719,101,China_fulgens,,1,Low
0.00541028,1052,98,Burma,IUCN IV,1,Low
,3552,96,China_fulgens,,0,Low
0.029481132,1420,103,china_styani,,1,Low
,1844,82,Nepal,,0,Moderate
0,2607,90,Bhutan,IUCN II,1,Low
,2913,103,china_styani,,0,Low
0.00591133,3498,99,China_fulgens,,1,Core
0,4016,102,china_styani,,1,Low
0,1907,97,Burma,IUCN IV,1,Moderate
0,2283,95,India,,1,Low
,4324,93,China_fulgens,,0,Low
,4778,100,China_fulgens,,0,Low
,4039,100,China_fulgens,,0,Low
,4694,99,China_fulgens,,0,Low
,3499,100,China_fulgens,,0,Moderate
0,2909,103,china_styani,,1,Low
9.18E-04,2098,103,china_styani,,1,Moderate
,3145,102,china_styani,,0,Low
0,859,104,china_styani,,1,Low
,5286,87,Nepal,IUCN II,0,Core
,4725,93,China_fulgens,,0,Low
,3086,88,Nepal,,0,Core
0,2847,102,china_styani,,1,Moderate
,1471,87,Nepal,,0,Moderate
0.004036327,3075,103,china_styani,,1,Low
0.005454545,2929,103,china_styani,,1,Low
0,4219,94,China_fulgens,,1,Low
,4804,94,China_fulgens,,0,Low
0.015719468,2724,82,Nepal,,1,Moderate
,4098,87,China_fulgens,,0,Low
0.025948104,2932,103,china_styani,,1,Moderate
0,3781,100,China_fulgens,,1,Low
0.00120048,2388,83,Nepal,,1,Moderate
,2407,101,China_fulgens,,0,Moderate
0,2183,96,India,,1,Low
0.002938296,2547,100,China_fulgens,,1,Moderate
,1522,91,India,,0,Moderate
,3444,95,India,,0,Moderate
0.001803427,1739,94,India,,1,Low
0,3013,103,china_styani,,1,Moderate
0,3122,97,India,,1,Moderate
0.002680965,3457,98,China_fulgens,,1,Low
0.036926148,4089,94,China_fulgens,,1,Low
,3637,93,India,,0,Low
,2918,98,China_fulgens,,0,Moderate
0,2303,100,China_fulgens,,1,Moderate
,1939,88,Nepal,,0,Core
0.003726708,3052,99,China_fulgens,,1,Low
0.016366612,1764,98,China_fulgens,,1,Low
,2486,100,China_fulgens,,0,Low
0,2853,94,India,,1,Core
0,2999,83,Nepal,IUCN VI,1,Low
0,3053,101,China_fulgens,,1,Low
,4212,99,China_fulgens,,0,Low
,3637,85,Nepal,,0,Core
0.007554297,2434,99,Burma,,1,Low
,2916,97,China_fulgens,,0,Low
,3118,99,China_fulgens,,0,Moderate
,2926,101,China_fulgens,,0,Low
,3333,101,China_fulgens,,0,Low
9.99E-04,2784,100,China_fulgens,,1,Low
,4233,85,China_fulgens,,0,Core
0,2297,102,china_styani,,1,Moderate
,3448,82,Nepal,,0,Low
0,4203,91,Bhutan,IUCN VI,1,Low
0,3350,82,Nepal,,1,Moderate
0.026149684,1998,103,china_styani,,1,LowModerate
0.08716707,3181,82,Nepal,,1,Moderate
0,3014,83,Nepal,,1,Low
0,2358,98,Burma,IUCN IV,1,Moderate
0,2510,84,Nepal,,1,Moderate
,4478,98,Burma,IUCN II,0,Moderate
,3887,98,China_fulgens,,0,Low
0,3902,100,China_fulgens,,1,Low
,4465,84,Nepal,IUCN VI,0,Low
,4359,98,China_fulgens,,0,Low
0,2496,93,India,,1,Low
0.043043043,2361,103,china_styani,,1,Moderate
0.077202543,1641,98,Burma,,1,Moderate
,3487,103,china_styani,,0,Low
0.013605442,2656,96,India,,1,Low
0,3850,95,China_fulgens,,1,Low
,4800,97,China_fulgens,,0,Low
,2579,104,china_styani,,0,Low
0,3104,90,Bhutan,,1,Moderate
,2014,100,China_fulgens,,0,Low
0,3475,98,China_fulgens,,1,Low
0,3237,102,china_styani,,1,Low
0,1332,98,Burma,IUCN IV,1,Moderate
,3292,103,china_styani,,0,Low
,1703,83,Nepal,,0,Low
,3049,97,China_fulgens,,0,Low
,4484,98,China_fulgens,,0,Moderate
0.006493506,1507,104,china_styani,,1,Moderate
,3730,96,China_fulgens,,0,Low
,3627,82,Nepal,,0,Low
,3552,85,Nepal,IUCN II,0,Moderate
0.006385696,879,97,India,,1,Low
,4463,95,China_fulgens,,0,Low
0,2255,97,Burma,IUCN IV,1,Low
,1468,86,Nepal,,0,Low
0.008628955,2387,85,Nepal,IUCN II,1,Moderate
,2507,100,China_fulgens,,0,Low
0,3190,99,China_fulgens,,1,Low
,3700,100,China_fulgens,,0,Low
0,1543,98,Burma,IUCN II,1,Low
,3857,96,China_fulgens,,0,Low
,4026,84,Nepal,IUCN VI,0,Low
9.73E-04,2847,103,china_styani,,1,Core
,5301,87,Nepal,IUCN VI,0,Low
0,2549,103,china_styani,,1,Low
0.009803922,1650,102,china_styani,,1,Moderate
,4555,86,Nepal,IUCN VI,0,Moderate
0.003389831,3437,95,China_fulgens,,1,Low
0.001222494,3775,99,China_fulgens,,1,Low
0.001187648,4235,100,China_fulgens,,1,Moderate
0.001754386,2642,101,China_fulgens,,1,Low
0,3767,100,China_fulgens,,1,Moderate
0,2181,99,Burma,,1,Moderate
0.001324503,1848,82,Nepal,,1,Low
,3125,91,Bhutan,IUCN II,0,Core
0,2415,88,India,,1,Core
0,2694,100,China_fulgens,,1,Low
0.010322581,3412,100,China_fulgens,,1,Low
,2134,103,china_styani,,0,Core
9.44E-04,2940,102,china_styani,,1,Moderate
,3485,104,china_styani,,0,Low
0,3354,100,China_fulgens,,1,Low
0,2403,98,Burma,,1,Core
0.087412587,3613,99,China_fulgens,,1,Low
,2640,91,Bhutan,,0,Moderate
,2973,102,china_styani,,0,Moderate
0,3393,94,India,,1,Low
,2212,103,china_styani,,0,Low
,2595,85,Nepal,,0,Moderate
0.010802469,3187,90,Bhutan,,1,Low
,3636,96,China_fulgens,,0,Low
0.003690037,3529,99,China_fulgens,,1,Low
,3017,94,China_fulgens,,0,Low
0,2451,87,Nepal,,1,Moderate
,1911,100,China_fulgens,,0,Moderate
,4413,84,Nepal,IUCN VI,0,Low
0,4778,94,China_fulgens,,1,Low
0.008528785,3625,88,India,IUCN II,1,Core
0.014177694,2244,98,China_fulgens,,1,Low
0,1344,91,Bhutan,,1,Moderate
0,1796,103,china_styani,,1,Moderate
,1893,83,Nepal,,0,Low
